match,match_ID,teamInnings,battingPos,batsmanName,Out/Not Out,runs,balls,4s,6s,SR
South Africa VS West Indies,Test # 2497,Innings 1,6,Heinrich Klaasen †,Out,17,45,1,0,37.77
South Africa VS West Indies,Test # 2497,Innings 1,7,Wiaan Mulder ,Out,12,30,1,0,40.00
South Africa VS West Indies,Test # 2497,Innings 1,8,Simon Harmer ,Out,1,5,0,0,20.00
South Africa VS West Indies,Test # 2497,Innings 1,9,Keshav Maharaj ,Out,1,7,0,0,14.28
South Africa VS West Indies,Test # 2497,Innings 1,10,Gerald Coetzee ,Out,1,4,0,0,25.00
South Africa VS West Indies,Test # 2497,Innings 1,11,Kagiso Rabada ,Not Out,6,5,1,0,120.00
South Africa VS West Indies,Test # 2497,Innings 2,1,Kraigg Brathwaite (c),Out,17,42,3,0,40.47
South Africa VS West Indies,Test # 2497,Innings 2,2,Tagenarine Chanderpaul ,Out,1,8,0,0,12.50
South Africa VS West Indies,Test # 2497,Innings 2,3,Raymon Reifer ,Out,15,34,3,0,44.11
South Africa VS West Indies,Test # 2497,Innings 2,4,Jermaine Blackwood ,Out,6,6,1,0,100.00
South Africa VS West Indies,Test # 2497,Innings 2,5,Roston Chase ,Out,28,53,3,1,52.83
South Africa VS West Indies,Test # 2497,Innings 2,6,Kyle Mayers ,Out,29,83,4,0,34.93
South Africa VS West Indies,Test # 2497,Innings 2,7,Joshua Da Silva †,Out,26,63,4,0,41.26
South Africa VS West Indies,Test # 2497,Innings 2,8,Jason Holder ,Not Out,81,117,8,4,69.23
South Africa VS West Indies,Test # 2497,Innings 2,9,Alzarri Joseph ,Out,4,7,1,0,57.14
South Africa VS West Indies,Test # 2497,Innings 2,10,Kemar Roach ,Out,13,27,1,1,48.14
South Africa VS West Indies,Test # 2497,Innings 2,11,Gudakesh Motie ,Out,17,40,3,0,42.50
New Zealand VS Sri Lanka,Test # 2498,Innings 1,1,Oshada Fernando ,Out,13,31,2,0,41.93
New Zealand VS Sri Lanka,Test # 2498,Innings 1,2,Dimuth Karunaratne (c),Out,50,87,7,0,57.47
New Zealand VS Sri Lanka,Test # 2498,Innings 1,3,Kusal Mendis ,Out,87,83,16,0,104.81
New Zealand VS Sri Lanka,Test # 2498,Innings 1,4,Angelo Mathews ,Out,47,98,6,1,47.95
New Zealand VS Sri Lanka,Test # 2498,Innings 1,5,Dinesh Chandimal ,Out,39,64,6,0,60.93
New Zealand VS Sri Lanka,Test # 2498,Innings 1,6,Dhananjaya de Silva ,Out,46,59,5,1,77.96
New Zealand VS Sri Lanka,Test # 2498,Innings 1,7,Niroshan Dickwella †,Out,7,13,1,0,53.84
New Zealand VS Sri Lanka,Test # 2498,Innings 1,8,Kasun Rajitha ,Out,22,39,4,0,56.41
New Zealand VS Sri Lanka,Test # 2498,Innings 1,9,Prabath Jayasuriya ,Out,13,40,0,0,32.50
New Zealand VS Sri Lanka,Test # 2498,Innings 1,10,Lahiru Kumara ,Not Out,13,32,2,0,40.62
New Zealand VS Sri Lanka,Test # 2498,Innings 1,11,Asitha Fernando ,Out,10,10,2,0,100.00
New Zealand VS Sri Lanka,Test # 2498,Innings 2,1,Tom Latham ,Out,67,144,7,0,46.52
New Zealand VS Sri Lanka,Test # 2498,Innings 2,2,Devon Conway ,Out,30,88,2,0,34.09
New Zealand VS Sri Lanka,Test # 2498,Innings 2,3,Kane Williamson ,Out,1,11,0,0,9.09
New Zealand VS Sri Lanka,Test # 2498,Innings 2,4,Henry Nicholls ,Out,2,6,0,0,33.33
New Zealand VS Sri Lanka,Test # 2498,Innings 2,5,Daryl Mitchell ,Out,102,193,6,2,52.84
New Zealand VS Sri Lanka,Test # 2498,Innings 2,6,Tom Blundell †,Out,7,22,0,0,31.81
New Zealand VS Sri Lanka,Test # 2498,Innings 2,7,Michael Bracewell ,Out,25,57,2,0,43.85
New Zealand VS Sri Lanka,Test # 2498,Innings 2,8,Tim Southee (c),Out,25,20,3,1,125.00
New Zealand VS Sri Lanka,Test # 2498,Innings 2,9,Matt Henry ,Out,72,75,10,3,96.00
New Zealand VS Sri Lanka,Test # 2498,Innings 2,10,Neil Wagner ,Out,27,24,1,3,112.50
New Zealand VS Sri Lanka,Test # 2498,Innings 2,11,Blair Tickner ,Not Out,2,5,0,0,40.00
India VS Australia,Test # 2499,Innings 1,1,Travis Head ,Out,32,44,7,0,72.72
India VS Australia,Test # 2499,Innings 1,2,Usman Khawaja ,Out,180,422,21,0,42.65
India VS Australia,Test # 2499,Innings 1,3,Marnus Labuschagne ,Out,3,20,0,0,15.00
India VS Australia,Test # 2499,Innings 1,4,Steven Smith (c),Out,38,135,3,0,28.14
India VS Australia,Test # 2499,Innings 1,5,Peter Handscomb ,Out,17,27,3,0,62.96
India VS Australia,Test # 2499,Innings 1,6,Cameron Green ,Out,114,170,18,0,67.05
India VS Australia,Test # 2499,Innings 1,7,Alex Carey †,Out,0,4,0,0,0.00
India VS Australia,Test # 2499,Innings 1,8,Mitchell Starc ,Out,6,20,0,0,30.00
India VS Australia,Test # 2499,Innings 1,9,Nathan Lyon ,Out,34,96,6,0,35.41
India VS Australia,Test # 2499,Innings 1,10,Todd Murphy ,Out,41,61,5,0,67.21
India VS Australia,Test # 2499,Innings 1,11,Matthew Kuhnemann ,Not Out,0,7,0,0,0.00
India VS Australia,Test # 2499,Innings 2,1,Rohit Sharma (c),Out,35,58,3,1,60.34
India VS Australia,Test # 2499,Innings 2,2,Shubman Gill ,Out,128,235,12,1,54.46
India VS Australia,Test # 2499,Innings 2,3,Cheteshwar Pujara ,Out,42,121,3,0,34.71
India VS Australia,Test # 2499,Innings 2,4,Virat Kohli ,Out,186,364,15,0,51.09
India VS Australia,Test # 2499,Innings 2,5,Ravindra Jadeja ,Out,28,84,2,1,33.33
India VS Australia,Test # 2499,Innings 2,6,Srikar Bharat †,Out,44,88,2,3,50.00
India VS Australia,Test # 2499,Innings 2,7,Axar Patel ,Out,79,113,5,4,69.91
India VS Australia,Test # 2499,Innings 2,8,Ravichandran Ashwin ,Out,7,12,1,0,58.33
India VS Australia,Test # 2499,Innings 2,9,Umesh Yadav ,Out,0,0,0,0,-
India VS Australia,Test # 2499,Innings 2,10,Mohammed Shami ,Not Out,0,2,0,0,0.00
India VS Australia,Test # 2499,Innings 2,11,Shreyas Iyer ,Not Out,-,-,-,-,-
New Zealand VS Sri Lanka,Test # 2500,Innings 1,1,Tom Latham ,Out,21,73,0,0,28.76
New Zealand VS Sri Lanka,Test # 2500,Innings 1,2,Devon Conway ,Out,78,108,13,0,72.22
New Zealand VS Sri Lanka,Test # 2500,Innings 1,3,Kane Williamson ,Out,215,296,23,2,72.63
New Zealand VS Sri Lanka,Test # 2500,Innings 1,4,Henry Nicholls ,Not Out,200,240,15,4,83.33
New Zealand VS Sri Lanka,Test # 2500,Innings 1,5,Daryl Mitchell ,Out,17,12,1,1,141.66
New Zealand VS Sri Lanka,Test # 2500,Innings 1,6,Tom Blundell †,Not Out,17,17,2,0,100.00
New Zealand VS Sri Lanka,Test # 2500,Innings 2,1,Oshada Fernando ,Out,6,32,0,0,18.75
New Zealand VS Sri Lanka,Test # 2500,Innings 2,2,Dimuth Karunaratne (c),Out,89,188,9,0,47.34
New Zealand VS Sri Lanka,Test # 2500,Innings 2,3,Kusal Mendis ,Out,0,10,0,0,0.00
New Zealand VS Sri Lanka,Test # 2500,Innings 2,4,Prabath Jayasuriya ,Out,4,17,1,0,23.52
New Zealand VS Sri Lanka,Test # 2500,Innings 2,5,Angelo Mathews ,Out,1,10,0,0,10.00
New Zealand VS Sri Lanka,Test # 2500,Innings 2,6,Dinesh Chandimal ,Out,37,92,4,0,40.21
New Zealand VS Sri Lanka,Test # 2500,Innings 2,7,Dhananjaya de Silva ,Out,0,6,0,0,0.00
New Zealand VS Sri Lanka,Test # 2500,Innings 2,8,Nishan Madushka †,Out,19,31,3,0,61.29
New Zealand VS Sri Lanka,Test # 2500,Innings 2,9,Kasun Rajitha ,Out,0,9,0,0,0.00
New Zealand VS Sri Lanka,Test # 2500,Innings 2,10,Lahiru Kumara ,Not Out,1,4,0,0,25.00
New Zealand VS Sri Lanka,Test # 2500,Innings 2,11,Asitha Fernando ,Out,0,3,0,0,0.00
Bangladesh VS Ireland,Test # 2501,Innings 1,1,James McCollum ,Out,15,34,1,0,44.11
Bangladesh VS Ireland,Test # 2501,Innings 1,2,Murray Commins ,Out,5,10,1,0,50.00
Bangladesh VS Ireland,Test # 2501,Innings 1,3,Andy Balbirnie (c),Out,16,50,0,0,32.00
Bangladesh VS Ireland,Test # 2501,Innings 1,4,Harry Tector ,Out,50,92,6,1,54.34
Bangladesh VS Ireland,Test # 2501,Innings 1,5,Curtis Campher ,Out,34,73,6,0,46.57
Bangladesh VS Ireland,Test # 2501,Innings 1,6,Peter Moor ,Out,1,8,0,0,12.50
Bangladesh VS Ireland,Test # 2501,Innings 1,7,Lorcan Tucker †,Out,37,74,3,0,50.00
Bangladesh VS Ireland,Test # 2501,Innings 1,8,Andy McBrine ,Out,19,55,1,1,34.54
Bangladesh VS Ireland,Test # 2501,Innings 1,9,Mark Adair ,Out,32,52,5,1,61.53
Bangladesh VS Ireland,Test # 2501,Innings 1,10,Graham Hume ,Out,2,16,0,0,12.50
Bangladesh VS Ireland,Test # 2501,Innings 1,11,Ben White ,Not Out,0,3,0,0,0.00
Bangladesh VS Ireland,Test # 2501,Innings 2,1,Tamim Iqbal ,Out,21,36,2,1,58.33
Bangladesh VS Ireland,Test # 2501,Innings 2,2,Najmul Hossain Shanto ,Out,0,1,0,0,0.00
Bangladesh VS Ireland,Test # 2501,Innings 2,3,Mominul Haque ,Out,17,34,4,0,50.00
Bangladesh VS Ireland,Test # 2501,Innings 2,4,Mushfiqur Rahim ,Out,126,166,15,1,75.90
Bangladesh VS Ireland,Test # 2501,Innings 2,5,Shakib Al Hasan (c),Out,87,94,14,0,92.55
Bangladesh VS Ireland,Test # 2501,Innings 2,6,Litton Das †,Out,43,41,8,0,104.87
Bangladesh VS Ireland,Test # 2501,Innings 2,7,Mehidy Hasan Miraz ,Out,55,80,6,2,68.75
Bangladesh VS Ireland,Test # 2501,Innings 2,8,Taijul Islam ,Out,4,12,0,0,33.33
Bangladesh VS Ireland,Test # 2501,Innings 2,9,Shoriful Islam ,Out,4,7,1,0,57.14
Bangladesh VS Ireland,Test # 2501,Innings 2,10,Ebadot Hossain ,Out,0,3,0,0,0.00
Bangladesh VS Ireland,Test # 2501,Innings 2,11,Khaled Ahmed ,Not Out,4,11,1,0,36.36
Sri Lanka VS Ireland,Test # 2502,Innings 1,1,Nishan Madushka ,Out,29,48,4,0,60.41
Sri Lanka VS Ireland,Test # 2502,Innings 1,2,Dimuth Karunaratne (c),Out,179,235,15,0,76.17
Sri Lanka VS Ireland,Test # 2502,Innings 1,3,Kusal Mendis ,Out,140,193,18,1,72.53
Sri Lanka VS Ireland,Test # 2502,Innings 1,4,Angelo Mathews ,Out,0,3,0,0,0.00
Sri Lanka VS Ireland,Test # 2502,Innings 1,5,Dinesh Chandimal ,Not Out,102,155,12,0,65.80
Sri Lanka VS Ireland,Test # 2502,Innings 1,6,Prabath Jayasuriya ,Out,16,23,3,0,69.56
Sri Lanka VS Ireland,Test # 2502,Innings 1,7,Dhananjaya de Silva ,Out,12,16,3,0,75.00
Sri Lanka VS Ireland,Test # 2502,Innings 1,8,Sadeera Samarawickrama †,Not Out,104,114,11,0,91.22
Sri Lanka VS Ireland,Test # 2502,Innings 2,1,James McCollum ,Out,35,85,5,0,41.17
Sri Lanka VS Ireland,Test # 2502,Innings 2,2,Murray Commins ,Out,0,1,0,0,0.00
Sri Lanka VS Ireland,Test # 2502,Innings 2,3,Andy Balbirnie (c),Out,4,4,1,0,100.00
Sri Lanka VS Ireland,Test # 2502,Innings 2,4,Harry Tector ,Out,34,59,2,1,57.62
Sri Lanka VS Ireland,Test # 2502,Innings 2,5,Curtis Campher ,Out,0,2,0,0,0.00
Sri Lanka VS Ireland,Test # 2502,Innings 2,6,Peter Moor ,Out,14,29,2,0,48.27
Sri Lanka VS Ireland,Test # 2502,Innings 2,7,Lorcan Tucker †,Out,45,73,7,0,61.64
Sri Lanka VS Ireland,Test # 2502,Innings 2,8,George Dockrell ,Out,2,24,0,0,8.33
Sri Lanka VS Ireland,Test # 2502,Innings 2,9,Andy McBrine ,Out,7,35,1,0,20.00
Sri Lanka VS Ireland,Test # 2502,Innings 2,10,Mark Adair ,Out,0,2,0,0,0.00
Sri Lanka VS Ireland,Test # 2502,Innings 2,11,Ben White ,Not Out,0,3,0,0,0.00
Sri Lanka VS Ireland,Test # 2503,Innings 1,1,James McCollum ,Out,10,28,2,0,35.71
Sri Lanka VS Ireland,Test # 2503,Innings 1,2,Peter Moor ,Out,5,7,1,0,71.42
Sri Lanka VS Ireland,Test # 2503,Innings 1,3,Andy Balbirnie (c),Out,95,163,14,0,58.28
Sri Lanka VS Ireland,Test # 2503,Innings 1,4,Harry Tector ,Out,18,44,3,0,40.90
Sri Lanka VS Ireland,Test # 2503,Innings 1,5,Paul Stirling ,Out,103,181,9,4,56.90
Sri Lanka VS Ireland,Test # 2503,Innings 1,6,Lorcan Tucker †,Out,80,106,10,0,75.47
Sri Lanka VS Ireland,Test # 2503,Innings 1,7,Curtis Campher ,Out,111,229,15,2,48.47
Sri Lanka VS Ireland,Test # 2503,Innings 1,8,Andy McBrine ,Out,35,59,3,1,59.32
Sri Lanka VS Ireland,Test # 2503,Innings 1,9,Graham Hume ,Out,6,23,1,0,26.08
Sri Lanka VS Ireland,Test # 2503,Innings 1,10,Matthew Humphreys ,Out,7,23,1,0,30.43
Sri Lanka VS Ireland,Test # 2503,Innings 1,11,Ben White ,Not Out,0,11,0,0,0.00
Sri Lanka VS Ireland,Test # 2503,Innings 2,1,Nishan Madushka ,Out,205,339,22,1,60.47
Sri Lanka VS Ireland,Test # 2503,Innings 2,2,Dimuth Karunaratne (c),Out,115,133,15,0,86.46
Sri Lanka VS Ireland,Test # 2503,Innings 2,3,Kusal Mendis ,Out,245,291,18,11,84.19
Sri Lanka VS Ireland,Test # 2503,Innings 2,4,Angelo Mathews ,Not Out,100,114,6,4,87.71
Sri Lanka VS Ireland,Test # 2503,Innings 2,5,Dinesh Chandimal ,Not Out,13,14,2,0,92.85
Sri Lanka VS Ireland,Test # 2503,Innings 2,6,Dhananjaya de Silva ,Not Out,12,17,2,0,70.58
England VS Ireland,Test # 2504,Innings 1,1,James McCollum ,Out,36,108,5,0,33.33
England VS Ireland,Test # 2504,Innings 1,2,Peter Moor ,Out,10,12,2,0,83.33
England VS Ireland,Test # 2504,Innings 1,3,Andy Balbirnie (c),Out,0,5,0,0,0.00
England VS Ireland,Test # 2504,Innings 1,4,Harry Tector ,Out,0,2,0,0,0.00
England VS Ireland,Test # 2504,Innings 1,5,Paul Stirling ,Out,30,35,5,0,85.71
England VS Ireland,Test # 2504,Innings 1,6,Lorcan Tucker †,Out,18,33,2,0,54.54
England VS Ireland,Test # 2504,Innings 1,7,Curtis Campher ,Out,33,79,6,0,41.77
England VS Ireland,Test # 2504,Innings 1,8,Andy McBrine ,Out,19,23,3,0,82.60
England VS Ireland,Test # 2504,Innings 1,9,Mark Adair ,Out,14,32,2,0,43.75
England VS Ireland,Test # 2504,Innings 1,10,Fionn Hand ,Out,1,7,0,0,14.28
England VS Ireland,Test # 2504,Innings 1,11,Graham Hume ,Not Out,0,3,0,0,0.00
England VS Ireland,Test # 2504,Innings 2,1,Zak Crawley ,Out,56,45,11,0,124.44
England VS Ireland,Test # 2504,Innings 2,2,Ben Duckett ,Out,182,178,24,1,102.24
England VS Ireland,Test # 2504,Innings 2,3,Ollie Pope ,Out,205,208,22,3,98.55
England VS Ireland,Test # 2504,Innings 2,4,Joe Root ,Out,56,59,4,1,94.91
England VS Ireland,Test # 2504,Innings 2,5,Harry Brook ,Not Out,9,7,1,0,128.57
Australia VS India,Test # 2505,Innings 1,1,David Warner ,Out,43,60,8,0,71.66
Australia VS India,Test # 2505,Innings 1,2,Usman Khawaja ,Out,0,10,0,0,0.00
Australia VS India,Test # 2505,Innings 1,3,Marnus Labuschagne ,Out,26,62,3,0,41.93
Australia VS India,Test # 2505,Innings 1,4,Steven Smith ,Out,121,268,19,0,45.14
Australia VS India,Test # 2505,Innings 1,5,Travis Head ,Out,163,174,25,1,93.67
Australia VS India,Test # 2505,Innings 1,6,Cameron Green ,Out,6,7,1,0,85.71
Australia VS India,Test # 2505,Innings 1,7,Alex Carey †,Out,48,69,7,1,69.56
Australia VS India,Test # 2505,Innings 1,8,Mitchell Starc ,Out,5,20,0,0,25.00
Australia VS India,Test # 2505,Innings 1,9,Pat Cummins (c),Out,9,34,0,0,26.47
Australia VS India,Test # 2505,Innings 1,10,Nathan Lyon ,Out,9,25,1,0,36.00
Australia VS India,Test # 2505,Innings 1,11,Scott Boland ,Not Out,1,7,0,0,14.28
Australia VS India,Test # 2505,Innings 2,1,Rohit Sharma (c),Out,15,26,2,0,57.69
Australia VS India,Test # 2505,Innings 2,2,Shubman Gill ,Out,13,15,2,0,86.66
Australia VS India,Test # 2505,Innings 2,3,Cheteshwar Pujara ,Out,14,25,2,0,56.00
Australia VS India,Test # 2505,Innings 2,4,Virat Kohli ,Out,14,31,2,0,45.16
Australia VS India,Test # 2505,Innings 2,5,Ajinkya Rahane ,Out,89,129,11,1,68.99
Australia VS India,Test # 2505,Innings 2,6,Ravindra Jadeja ,Out,48,51,7,1,94.11
Australia VS India,Test # 2505,Innings 2,7,Srikar Bharat †,Out,5,15,0,0,33.33
Australia VS India,Test # 2505,Innings 2,8,Shardul Thakur ,Out,51,109,6,0,46.78
Australia VS India,Test # 2505,Innings 2,9,Umesh Yadav ,Out,5,11,1,0,45.45
Australia VS India,Test # 2505,Innings 2,10,Mohammed Shami ,Out,13,11,2,0,118.18
Australia VS India,Test # 2505,Innings 2,11,Mohammed Siraj ,Not Out,0,3,0,0,0.00
Bangladesh VS Afghanistan,Test # 2506,Innings 1,1,Mahmudul Hasan Joy ,Out,76,137,9,0,55.47
Bangladesh VS Afghanistan,Test # 2506,Innings 1,2,Zakir Hasan ,Out,1,2,0,0,50.00
Bangladesh VS Afghanistan,Test # 2506,Innings 1,3,Najmul Hossain Shanto ,Out,146,175,23,2,83.42
Bangladesh VS Afghanistan,Test # 2506,Innings 1,4,Mominul Haque ,Out,15,25,1,1,60.00
Bangladesh VS Afghanistan,Test # 2506,Innings 1,5,Mushfiqur Rahim ,Out,47,76,4,0,61.84
Bangladesh VS Afghanistan,Test # 2506,Innings 1,6,Litton Das (c)†,Out,9,15,0,1,60.00
Bangladesh VS Afghanistan,Test # 2506,Innings 1,7,Mehidy Hasan Miraz ,Out,48,80,8,0,60.00
Bangladesh VS Afghanistan,Test # 2506,Innings 1,8,Taskin Ahmed ,Out,2,7,0,0,28.57
Bangladesh VS Afghanistan,Test # 2506,Innings 1,9,Taijul Islam ,Out,0,2,0,0,0.00
Bangladesh VS Afghanistan,Test # 2506,Innings 1,10,Shoriful Islam ,Out,6,11,1,0,54.54
Bangladesh VS Afghanistan,Test # 2506,Innings 1,11,Ebadot Hossain ,Not Out,0,2,0,0,0.00
Bangladesh VS Afghanistan,Test # 2506,Innings 2,1,Ibrahim Zadran ,Out,6,17,1,0,35.29
Bangladesh VS Afghanistan,Test # 2506,Innings 2,2,Abdul Malik ,Out,17,21,2,0,80.95
Bangladesh VS Afghanistan,Test # 2506,Innings 2,3,Rahmat Shah ,Out,9,18,2,0,50.00
Bangladesh VS Afghanistan,Test # 2506,Innings 2,4,Hashmatullah Shahidi (c),Out,9,16,1,0,56.25
Bangladesh VS Afghanistan,Test # 2506,Innings 2,5,Nasir Jamal ,Out,35,43,6,0,81.39
Bangladesh VS Afghanistan,Test # 2506,Innings 2,6,Afsar Zazai †,Out,36,40,6,0,90.00
Bangladesh VS Afghanistan,Test # 2506,Innings 2,7,Karim Janat ,Out,23,47,2,0,48.93
Bangladesh VS Afghanistan,Test # 2506,Innings 2,8,Amir Hamza ,Out,6,15,1,0,40.00
Bangladesh VS Afghanistan,Test # 2506,Innings 2,9,Yamin Ahmadzai ,Out,0,3,0,0,0.00
Bangladesh VS Afghanistan,Test # 2506,Innings 2,10,Nijat Masood ,Out,0,16,0,0,0.00
Bangladesh VS Afghanistan,Test # 2506,Innings 2,11,Zahir Khan ,Not Out,0,2,0,0,0.00
England VS Australia,Test # 2507,Innings 1,1,Zak Crawley ,Out,61,73,7,0,83.56
England VS Australia,Test # 2507,Innings 1,2,Ben Duckett ,Out,12,10,2,0,120.00
England VS Australia,Test # 2507,Innings 1,3,Ollie Pope ,Out,31,44,2,0,70.45
England VS Australia,Test # 2507,Innings 1,4,Joe Root ,Not Out,118,152,7,4,77.63
England VS Australia,Test # 2507,Innings 1,5,Harry Brook ,Out,32,37,4,0,86.48
England VS Australia,Test # 2507,Innings 1,6,Ben Stokes (c),Out,1,8,0,0,12.50
England VS Australia,Test # 2507,Innings 1,7,Jonny Bairstow †,Out,78,78,12,0,100.00
England VS Australia,Test # 2507,Innings 1,8,Moeen Ali ,Out,18,17,2,1,105.88
England VS Australia,Test # 2507,Innings 1,9,Stuart Broad ,Out,16,21,2,0,76.19
England VS Australia,Test # 2507,Innings 1,10,Ollie Robinson ,Not Out,17,31,2,0,54.83
England VS Australia,Test # 2507,Innings 2,1,David Warner ,Out,9,27,2,0,33.33
England VS Australia,Test # 2507,Innings 2,2,Usman Khawaja ,Out,141,321,14,3,43.92
England VS Australia,Test # 2507,Innings 2,3,Marnus Labuschagne ,Out,0,1,0,0,0.00
England VS Australia,Test # 2507,Innings 2,4,Steven Smith ,Out,16,59,0,0,27.11
England VS Australia,Test # 2507,Innings 2,5,Travis Head ,Out,50,63,8,1,79.36
England VS Australia,Test # 2507,Innings 2,6,Cameron Green ,Out,38,68,4,1,55.88
England VS Australia,Test # 2507,Innings 2,7,Alex Carey †,Out,66,99,10,1,66.66
England VS Australia,Test # 2507,Innings 2,8,Pat Cummins (c),Out,38,62,0,3,61.29
England VS Australia,Test # 2507,Innings 2,9,Nathan Lyon ,Out,1,6,0,0,16.66
England VS Australia,Test # 2507,Innings 2,10,Scott Boland ,Out,0,5,0,0,0.00
England VS Australia,Test # 2507,Innings 2,11,Josh Hazlewood ,Not Out,1,1,0,0,100.00
