name,team,playingRole,battingStyle,bowlingStyle
Tom Latham,New Zealand,Wicketkeeper Batter,Left hand Bat,Right arm Medium
Devon Conway,New Zealand,Wicketkeeper Batter,Left hand Bat,Right arm Medium
Kane Williamson,New Zealand,Top order Batter,Right hand Bat,Right arm Offbreak
Henry Nicholls,New Zealand,Top order Batter,Left hand Bat,Right arm Offbreak
Daryl Mitchell,New Zealand,Allrounder,Moose,Right hand Bat
Tom Blundell,New Zealand,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Michael Bracewell,New Zealand,Batting Allrounder,Left hand Bat,Right arm Offbreak
Ish Sodhi,New Zealand,Bowler,Right hand Bat,Legbreak
Tim Southee,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Matt Henry,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Ajaz Patel,New Zealand,Bowler,Left hand Bat,Slow Left arm Orthodox
Abdullah Shafique,Pakistan,Top order Batter,Right hand Bat,Right arm Offbreak
Imam-ul-Haq,Pakistan,Top order Batter,Left hand Bat,Top order Batter
Shan Masood,Pakistan,Opening Batter,Shaan Masood,Shaani
Babar Azam,Pakistan,Batter,Right hand Bat,Right arm Offbreak
Saud Shakeel,Pakistan,Middle order Batter,Saud Shakil,Left hand Bat
Sarfaraz Ahmed,Pakistan,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Agha Salman,Pakistan,Allrounder,Right hand Bat,Right arm Offbreak
Hasan Ali,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Naseem Shah,Pakistan,Bowler,Right hand Bat,Right arm Fast
Mir Hamza,Pakistan,Bowler,Left hand Bat,Left arm Medium
Abrar Ahmed,Pakistan,Bowler,Right hand Bat,Legbreak Googly
Mir Hamza,Pakistan,Bowler,Left hand Bat,Left arm Medium
Naseem Shah,Pakistan,Bowler,Right hand Bat,Right arm Fast
Hasan Ali,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Abrar Ahmed,Pakistan,Bowler,Right hand Bat,Legbreak Googly
Agha Salman,Pakistan,Allrounder,Right hand Bat,Right arm Offbreak
Tim Southee,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Matt Henry,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Ajaz Patel,New Zealand,Bowler,Left hand Bat,Slow Left arm Orthodox
Michael Bracewell,New Zealand,Batting Allrounder,Left hand Bat,Right arm Offbreak
Ish Sodhi,New Zealand,Bowler,Right hand Bat,Legbreak
Daryl Mitchell,New Zealand,Allrounder,Moose,Right hand Bat
Usman Khawaja,Australia,Top order Batter,Usie,Left hand Bat
David Warner,Australia,Opening Batter,Lloyd,Left hand Bat
Marnus Labuschagne,Australia,Batting Allrounder,Right hand Bat,Legbreak
Steven Smith,Australia,Middle order Batter,Steve Smith,Right hand Bat
Travis Head,Australia,Middle order Batter,Left hand Bat,Right arm Offbreak
Matt Renshaw,Australia,Batter,Left hand Bat,Right arm Offbreak
Dean Elgar,South Africa,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Sarel Erwee,South Africa,Opening Batter,Left hand Bat,Right arm Offbreak
Heinrich Klaasen,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Temba Bavuma,South Africa,Middle order Batter,Right hand Bat,Right arm Medium
Khaya Zondo,South Africa,Batter,Right hand Bat,Right arm Offbreak
Kyle Verreynne,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Marco Jansen,South Africa,Bowling Allrounder,Right hand Bat,Left arm Medium fast
Simon Harmer,South Africa,Bowler,Right hand Bat,Right arm Offbreak
Keshav Maharaj,South Africa,Bowler,Right hand Bat,Slow Left arm Orthodox
Kagiso Rabada,South Africa,Bowler,Left hand Bat,Right arm Fast
Anrich Nortje,South Africa,Bowler,Right hand Bat,Right arm Fast
Kagiso Rabada,South Africa,Bowler,Left hand Bat,Right arm Fast
Anrich Nortje,South Africa,Bowler,Right hand Bat,Right arm Fast
Marco Jansen,South Africa,Bowling Allrounder,Right hand Bat,Left arm Medium fast
Keshav Maharaj,South Africa,Bowler,Right hand Bat,Slow Left arm Orthodox
Simon Harmer,South Africa,Bowler,Right hand Bat,Right arm Offbreak
Josh Hazlewood,Australia,Bowler,Left hand Bat,Right arm Fast medium
Pat Cummins,Australia,Bowler,Cummo,Right hand Bat
Nathan Lyon,Australia,Bowler,Right hand Bat,Right arm Offbreak
Ashton Agar,Australia,Bowler,Left hand Bat,Slow Left arm Orthodox
Travis Head,Australia,Middle order Batter,Left hand Bat,Right arm Offbreak
Steven Smith,Australia,Middle order Batter,Steve Smith,Right hand Bat
Kraigg Brathwaite,West Indies,Opening Batter,BoBo,Right hand Bat
Tagenarine Chanderpaul,West Indies,Opening Batter,Left hand Bat,Legbreak
Kyle Mayers,West Indies,Batting Allrounder,Left hand Bat,Right arm Medium
Raymon Reifer,West Indies,Allrounder,Left hand Bat,Left arm Medium fast
Jermaine Blackwood,West Indies,Middle order Batter,Right hand Bat,Right arm Offbreak
Roston Chase,West Indies,Allrounder,Right hand Bat,Right arm Offbreak
Jason Holder,West Indies,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Joshua Da Silva,West Indies,Wicketkeeper Batter,Josh,Right hand Bat
Innocent Kaia,Zimbabwe,Opening Batter,Right hand Bat,Legbreak
Tanunurwa Makoni,Zimbabwe,Opening Batter,Right hand Bat,Right arm Medium
Chamu Chibhabha,Zimbabwe,Top order Batter,Cham,Right hand Bat
Craig Ervine,Zimbabwe,Middle order Batter,Left hand Bat,Right arm Offbreak
Gary Ballance,Zimbabwe,Middle order Batter,Gazza,Left hand Bat
Tafadzwa Tsiga,Zimbabwe,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Brad Evans,Zimbabwe,Allrounder,Right hand Bat,Right arm Fast
Wellington Masakadza,Zimbabwe,Bowler,Left hand Bat,Slow Left arm Orthodox
Brandon Mavuta,Zimbabwe,Allrounder,Right hand Bat,Legbreak
Victor Nyauchi,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Richard Ngarava,Zimbabwe,Bowler,Left hand Bat,Left arm Fast medium
Richard Ngarava,Zimbabwe,Bowler,Left hand Bat,Left arm Fast medium
Victor Nyauchi,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Brad Evans,Zimbabwe,Allrounder,Right hand Bat,Right arm Fast
Wellington Masakadza,Zimbabwe,Bowler,Left hand Bat,Slow Left arm Orthodox
Brandon Mavuta,Zimbabwe,Allrounder,Right hand Bat,Legbreak
Kemar Roach,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Alzarri Joseph,West Indies,Bowler,Right hand Bat,Right arm Fast
Kyle Mayers,West Indies,Batting Allrounder,Left hand Bat,Right arm Medium
Gudakesh Motie,West Indies,Bowler,Motie-Kanhai,Left hand Bat
Jason Holder,West Indies,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Roston Chase,West Indies,Allrounder,Right hand Bat,Right arm Offbreak
Kraigg Brathwaite,West Indies,Opening Batter,BoBo,Right hand Bat
Raymon Reifer,West Indies,Allrounder,Left hand Bat,Left arm Medium fast
Jermaine Blackwood,West Indies,Middle order Batter,Right hand Bat,Right arm Offbreak
David Warner,Australia,Opening Batter,Lloyd,Left hand Bat
Usman Khawaja,Australia,Top order Batter,Usie,Left hand Bat
Marnus Labuschagne,Australia,Batting Allrounder,Right hand Bat,Legbreak
Steven Smith,Australia,Middle order Batter,Steve Smith,Right hand Bat
Matt Renshaw,Australia,Batter,Left hand Bat,Right arm Offbreak
Peter Handscomb,Australia,Batter,Right hand Bat,Wicketkeeper
Alex Carey,Australia,Wicketkeeper Batter,Left hand Bat,Wicketkeeper
Pat Cummins,Australia,Bowler,Cummo,Right hand Bat
Todd Murphy,Australia,Bowler,Left hand Bat,Right arm Offbreak
Nathan Lyon,Australia,Bowler,Right hand Bat,Right arm Offbreak
Scott Boland,Australia,Bowler,Right hand Bat,Right arm Fast medium
Rohit Sharma,India,Top order Batter,Right hand Bat,Right arm Offbreak
KL Rahul,India,Wicketkeeper Batter,Right hand Bat,Wicketkeeper
Ravichandran Ashwin,India,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Cheteshwar Pujara,India,Top order Batter,Right hand Bat,Legbreak
Virat Kohli,India,Top order Batter,Right hand Bat,Right arm Medium
Suryakumar Yadav,India,Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Ravindra Jadeja,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Srikar Bharat,India,Wicketkeeper Batter,Right hand Bat,Wicketkeeper
Axar Patel,India,Bowling Allrounder,Akshar Patel,Left hand Bat
Mohammed Shami,India,Bowler,Right hand Bat,Right arm Fast
Mohammed Siraj,India,Bowler,Right hand Bat,Right arm Fast
Mohammed Shami,India,Bowler,Right hand Bat,Right arm Fast
Mohammed Siraj,India,Bowler,Right hand Bat,Right arm Fast
Ravindra Jadeja,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Axar Patel,India,Bowling Allrounder,Akshar Patel,Left hand Bat
Ravichandran Ashwin,India,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Pat Cummins,Australia,Bowler,Cummo,Right hand Bat
Scott Boland,Australia,Bowler,Right hand Bat,Right arm Fast medium
Nathan Lyon,Australia,Bowler,Right hand Bat,Right arm Offbreak
Todd Murphy,Australia,Bowler,Left hand Bat,Right arm Offbreak
Marnus Labuschagne,Australia,Batting Allrounder,Right hand Bat,Legbreak
Matt Renshaw,Australia,Batter,Left hand Bat,Right arm Offbreak
Tanunurwa Makoni,Zimbabwe,Opening Batter,Right hand Bat,Right arm Medium
Innocent Kaia,Zimbabwe,Opening Batter,Right hand Bat,Legbreak
Chamu Chibhabha,Zimbabwe,Top order Batter,Cham,Right hand Bat
Craig Ervine,Zimbabwe,Middle order Batter,Left hand Bat,Right arm Offbreak
Milton Shumba,Zimbabwe,Top order Batter,Left hand Bat,Slow Left arm Orthodox
Tafadzwa Tsiga,Zimbabwe,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Donald Tiripano,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Wellington Masakadza,Zimbabwe,Bowler,Left hand Bat,Slow Left arm Orthodox
Brandon Mavuta,Zimbabwe,Allrounder,Right hand Bat,Legbreak
Victor Nyauchi,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Tanaka Chivanga,Zimbabwe,Bowler,Right hand Bat,Right arm Fast
Kraigg Brathwaite,West Indies,Opening Batter,BoBo,Right hand Bat
Tagenarine Chanderpaul,West Indies,Opening Batter,Left hand Bat,Legbreak
Raymon Reifer,West Indies,Allrounder,Left hand Bat,Left arm Medium fast
Jermaine Blackwood,West Indies,Middle order Batter,Right hand Bat,Right arm Offbreak
Kyle Mayers,West Indies,Batting Allrounder,Left hand Bat,Right arm Medium
Roston Chase,West Indies,Allrounder,Right hand Bat,Right arm Offbreak
Joshua Da Silva,West Indies,Wicketkeeper Batter,Josh,Right hand Bat
Jason Holder,West Indies,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Alzarri Joseph,West Indies,Bowler,Right hand Bat,Right arm Fast
Gudakesh Motie,West Indies,Bowler,Motie-Kanhai,Left hand Bat
Shannon Gabriel,West Indies,Bowler,Right hand Bat,Right arm Fast
Alzarri Joseph,West Indies,Bowler,Right hand Bat,Right arm Fast
Shannon Gabriel,West Indies,Bowler,Right hand Bat,Right arm Fast
Jason Holder,West Indies,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Gudakesh Motie,West Indies,Bowler,Motie-Kanhai,Left hand Bat
Roston Chase,West Indies,Allrounder,Right hand Bat,Right arm Offbreak
Victor Nyauchi,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Wellington Masakadza,Zimbabwe,Bowler,Left hand Bat,Slow Left arm Orthodox
Tanaka Chivanga,Zimbabwe,Bowler,Right hand Bat,Right arm Fast
Donald Tiripano,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Brandon Mavuta,Zimbabwe,Allrounder,Right hand Bat,Legbreak
Milton Shumba,Zimbabwe,Top order Batter,Left hand Bat,Slow Left arm Orthodox
Zak Crawley,England,Top order Batter,Right hand Bat,Right arm Offbreak
Ben Duckett,England,Top order Batter,Left hand Bat,Right arm Offbreak
Ollie Pope,England,Middle order Batter,Right hand Bat,Wicketkeeper
Joe Root,England,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak"
Harry Brook,England,Batter,Right hand Bat,Right arm Medium
Ben Stokes,England,Allrounder,Left hand Bat,Right arm Fast medium
Ben Foakes,England,Wicketkeeper Batter,Right hand Bat,Wicketkeeper
Stuart Broad,England,Bowler,Broady,Left hand Bat
Ollie Robinson,England,Bowler,Right hand Bat,Right arm Medium fast
Jack Leach,England,Bowler,"Leachy, Nut",Left hand Bat
Tom Latham,New Zealand,Wicketkeeper Batter,Left hand Bat,Right arm Medium
Devon Conway,New Zealand,Wicketkeeper Batter,Left hand Bat,Right arm Medium
Kane Williamson,New Zealand,Top order Batter,Right hand Bat,Right arm Offbreak
Henry Nicholls,New Zealand,Top order Batter,Left hand Bat,Right arm Offbreak
Neil Wagner,New Zealand,Bowler,Left hand Bat,Left arm Medium fast
Daryl Mitchell,New Zealand,Allrounder,Moose,Right hand Bat
Tom Blundell,New Zealand,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Michael Bracewell,New Zealand,Batting Allrounder,Left hand Bat,Right arm Offbreak
Scott Kuggeleijn,New Zealand,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Tim Southee,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Blair Tickner,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Tim Southee,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Neil Wagner,New Zealand,Bowler,Left hand Bat,Left arm Medium fast
Blair Tickner,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Scott Kuggeleijn,New Zealand,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Michael Bracewell,New Zealand,Batting Allrounder,Left hand Bat,Right arm Offbreak
James Anderson,England,Bowler,Jimmy,Left hand Bat
Stuart Broad,England,Bowler,Broady,Left hand Bat
Ollie Robinson,England,Bowler,Right hand Bat,Right arm Medium fast
Jack Leach,England,Bowler,"Leachy, Nut",Left hand Bat
Joe Root,England,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak"
Ben Stokes,England,Allrounder,Left hand Bat,Right arm Fast medium
David Warner,Australia,Opening Batter,Lloyd,Left hand Bat
Usman Khawaja,Australia,Top order Batter,Usie,Left hand Bat
Marnus Labuschagne,Australia,Batting Allrounder,Right hand Bat,Legbreak
Steven Smith,Australia,Middle order Batter,Steve Smith,Right hand Bat
Travis Head,Australia,Middle order Batter,Left hand Bat,Right arm Offbreak
Peter Handscomb,Australia,Batter,Right hand Bat,Wicketkeeper
Alex Carey,Australia,Wicketkeeper Batter,Left hand Bat,Wicketkeeper
Pat Cummins,Australia,Bowler,Cummo,Right hand Bat
Todd Murphy,Australia,Bowler,Left hand Bat,Right arm Offbreak
Nathan Lyon,Australia,Bowler,Right hand Bat,Right arm Offbreak
Matthew Kuhnemann,Australia,Bowler,Left hand Bat,Slow Left arm Orthodox
Rohit Sharma,India,Top order Batter,Right hand Bat,Right arm Offbreak
KL Rahul,India,Wicketkeeper Batter,Right hand Bat,Wicketkeeper
Cheteshwar Pujara,India,Top order Batter,Right hand Bat,Legbreak
Virat Kohli,India,Top order Batter,Right hand Bat,Right arm Medium
Shreyas Iyer,India,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Ravindra Jadeja,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Srikar Bharat,India,Wicketkeeper Batter,Right hand Bat,Wicketkeeper
Axar Patel,India,Bowling Allrounder,Akshar Patel,Left hand Bat
Ravichandran Ashwin,India,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Mohammed Shami,India,Bowler,Right hand Bat,Right arm Fast
Mohammed Siraj,India,Bowler,Right hand Bat,Right arm Fast
Mohammed Shami,India,Bowler,Right hand Bat,Right arm Fast
Mohammed Siraj,India,Bowler,Right hand Bat,Right arm Fast
Ravichandran Ashwin,India,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Ravindra Jadeja,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Axar Patel,India,Bowling Allrounder,Akshar Patel,Left hand Bat
Pat Cummins,Australia,Bowler,Cummo,Right hand Bat
Matthew Kuhnemann,Australia,Bowler,Left hand Bat,Slow Left arm Orthodox
Nathan Lyon,Australia,Bowler,Right hand Bat,Right arm Offbreak
Todd Murphy,Australia,Bowler,Left hand Bat,Right arm Offbreak
Travis Head,Australia,Middle order Batter,Left hand Bat,Right arm Offbreak
Zak Crawley,England,Top order Batter,Right hand Bat,Right arm Offbreak
Ben Duckett,England,Top order Batter,Left hand Bat,Right arm Offbreak
Ollie Pope,England,Middle order Batter,Right hand Bat,Wicketkeeper
Joe Root,England,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak"
Harry Brook,England,Batter,Right hand Bat,Right arm Medium
Ben Stokes,England,Allrounder,Left hand Bat,Right arm Fast medium
Ben Foakes,England,Wicketkeeper Batter,Right hand Bat,Wicketkeeper
Stuart Broad,England,Bowler,Broady,Left hand Bat
Ollie Robinson,England,Bowler,Right hand Bat,Right arm Medium fast
Jack Leach,England,Bowler,"Leachy, Nut",Left hand Bat
Tom Latham,New Zealand,Wicketkeeper Batter,Left hand Bat,Right arm Medium
Devon Conway,New Zealand,Wicketkeeper Batter,Left hand Bat,Right arm Medium
Kane Williamson,New Zealand,Top order Batter,Right hand Bat,Right arm Offbreak
Will Young,New Zealand,Top order Batter,Right hand Bat,Right arm Offbreak
Henry Nicholls,New Zealand,Top order Batter,Left hand Bat,Right arm Offbreak
Daryl Mitchell,New Zealand,Allrounder,Moose,Right hand Bat
Tom Blundell,New Zealand,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Michael Bracewell,New Zealand,Batting Allrounder,Left hand Bat,Right arm Offbreak
Tim Southee,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Matt Henry,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Neil Wagner,New Zealand,Bowler,Left hand Bat,Left arm Medium fast
Tim Southee,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Matt Henry,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Daryl Mitchell,New Zealand,Allrounder,Moose,Right hand Bat
Neil Wagner,New Zealand,Bowler,Left hand Bat,Left arm Medium fast
Michael Bracewell,New Zealand,Batting Allrounder,Left hand Bat,Right arm Offbreak
James Anderson,England,Bowler,Jimmy,Left hand Bat
Stuart Broad,England,Bowler,Broady,Left hand Bat
Ollie Robinson,England,Bowler,Right hand Bat,Right arm Medium fast
Jack Leach,England,Bowler,"Leachy, Nut",Left hand Bat
Dean Elgar,South Africa,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Aiden Markram,South Africa,Opening Batter,Right hand Bat,Right arm Offbreak
Tony de Zorzi,South Africa,Top order Batter,Left hand Bat,Right arm Offbreak
Temba Bavuma,South Africa,Middle order Batter,Right hand Bat,Right arm Medium
Keegan Petersen,South Africa,Top order Batter,Right hand Bat,Legbreak
Heinrich Klaasen,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Senuran Muthusamy,South Africa,Batting Allrounder,Sen,Left hand Bat
Marco Jansen,South Africa,Bowling Allrounder,Right hand Bat,Left arm Medium fast
Kagiso Rabada,South Africa,Bowler,Left hand Bat,Right arm Fast
Gerald Coetzee,South Africa,Bowler,Right hand Bat,Right arm Fast
Anrich Nortje,South Africa,Bowler,Right hand Bat,Right arm Fast
Kraigg Brathwaite,West Indies,Opening Batter,BoBo,Right hand Bat
Tagenarine Chanderpaul,West Indies,Opening Batter,Left hand Bat,Legbreak
Raymon Reifer,West Indies,Allrounder,Left hand Bat,Left arm Medium fast
Jermaine Blackwood,West Indies,Middle order Batter,Right hand Bat,Right arm Offbreak
Roston Chase,West Indies,Allrounder,Right hand Bat,Right arm Offbreak
Kyle Mayers,West Indies,Batting Allrounder,Left hand Bat,Right arm Medium
Joshua Da Silva,West Indies,Wicketkeeper Batter,Josh,Right hand Bat
Jason Holder,West Indies,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Alzarri Joseph,West Indies,Bowler,Right hand Bat,Right arm Fast
Kemar Roach,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Shannon Gabriel,West Indies,Bowler,Right hand Bat,Right arm Fast
Kemar Roach,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Alzarri Joseph,West Indies,Bowler,Right hand Bat,Right arm Fast
Kyle Mayers,West Indies,Batting Allrounder,Left hand Bat,Right arm Medium
Shannon Gabriel,West Indies,Bowler,Right hand Bat,Right arm Fast
Jason Holder,West Indies,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Roston Chase,West Indies,Allrounder,Right hand Bat,Right arm Offbreak
Jermaine Blackwood,West Indies,Middle order Batter,Right hand Bat,Right arm Offbreak
Kagiso Rabada,South Africa,Bowler,Left hand Bat,Right arm Fast
Marco Jansen,South Africa,Bowling Allrounder,Right hand Bat,Left arm Medium fast
Anrich Nortje,South Africa,Bowler,Right hand Bat,Right arm Fast
Gerald Coetzee,South Africa,Bowler,Right hand Bat,Right arm Fast
Senuran Muthusamy,South Africa,Batting Allrounder,Sen,Left hand Bat
Rohit Sharma,India,Top order Batter,Right hand Bat,Right arm Offbreak
Shubman Gill,India,Opening Batter,Right hand Bat,Right arm Offbreak
Cheteshwar Pujara,India,Top order Batter,Right hand Bat,Legbreak
Virat Kohli,India,Top order Batter,Right hand Bat,Right arm Medium
Ravindra Jadeja,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Shreyas Iyer,India,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Srikar Bharat,India,Wicketkeeper Batter,Right hand Bat,Wicketkeeper
Axar Patel,India,Bowling Allrounder,Akshar Patel,Left hand Bat
Ravichandran Ashwin,India,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Umesh Yadav,India,Bowler,Right hand Bat,Right arm Fast
Mohammed Siraj,India,Bowler,Right hand Bat,Right arm Fast
Travis Head,Australia,Middle order Batter,Left hand Bat,Right arm Offbreak
Usman Khawaja,Australia,Top order Batter,Usie,Left hand Bat
Marnus Labuschagne,Australia,Batting Allrounder,Right hand Bat,Legbreak
Steven Smith,Australia,Middle order Batter,Steve Smith,Right hand Bat
Peter Handscomb,Australia,Batter,Right hand Bat,Wicketkeeper
Cameron Green,Australia,Batting Allrounder,Right hand Bat,Right arm Fast medium
Alex Carey,Australia,Wicketkeeper Batter,Left hand Bat,Wicketkeeper
Mitchell Starc,Australia,Bowler,Left hand Bat,Left arm Fast
Nathan Lyon,Australia,Bowler,Right hand Bat,Right arm Offbreak
Todd Murphy,Australia,Bowler,Left hand Bat,Right arm Offbreak
Matthew Kuhnemann,Australia,Bowler,Left hand Bat,Slow Left arm Orthodox
Mitchell Starc,Australia,Bowler,Left hand Bat,Left arm Fast
Cameron Green,Australia,Batting Allrounder,Right hand Bat,Right arm Fast medium
Matthew Kuhnemann,Australia,Bowler,Left hand Bat,Slow Left arm Orthodox
Nathan Lyon,Australia,Bowler,Right hand Bat,Right arm Offbreak
Todd Murphy,Australia,Bowler,Left hand Bat,Right arm Offbreak
Ravichandran Ashwin,India,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Ravindra Jadeja,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Axar Patel,India,Bowling Allrounder,Akshar Patel,Left hand Bat
Umesh Yadav,India,Bowler,Right hand Bat,Right arm Fast
Mohammed Siraj,India,Bowler,Right hand Bat,Right arm Fast
Dean Elgar,South Africa,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Aiden Markram,South Africa,Opening Batter,Right hand Bat,Right arm Offbreak
Tony de Zorzi,South Africa,Top order Batter,Left hand Bat,Right arm Offbreak
Temba Bavuma,South Africa,Middle order Batter,Right hand Bat,Right arm Medium
Ryan Rickelton,South Africa,Wicketkeeper Batter,Left hand Bat,Wicketkeeper
Heinrich Klaasen,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Wiaan Mulder,South Africa,Allrounder,Wiaan,Right hand Bat
Simon Harmer,South Africa,Bowler,Right hand Bat,Right arm Offbreak
Keshav Maharaj,South Africa,Bowler,Right hand Bat,Slow Left arm Orthodox
Gerald Coetzee,South Africa,Bowler,Right hand Bat,Right arm Fast
Kagiso Rabada,South Africa,Bowler,Left hand Bat,Right arm Fast
